id,total_count,hourly_count,time,conf,thresh,number_of_snaps,store_uid_id,date
,0,0,19,25,45,6,70144869,2021-02-27
,0,0,20,25,45,6,70144869,2021-02-27
,47,0,23,25,45,6,70144869,2021-02-27
,0,0,9,25,45,6,70145667,2021-02-27
,0,0,10,25,45,6,70145667,2021-02-27
,0,0,11,25,45,6,70145667,2021-02-27
,0,0,12,25,45,6,70145667,2021-02-27
,0,0,13,25,45,6,70145667,2021-02-27
,0,0,14,25,45,6,70145667,2021-02-27
,0,0,15,25,45,6,70145667,2021-02-27
,0,0,16,25,45,6,70145667,2021-02-27
,0,0,17,25,45,6,70145667,2021-02-27
,0,0,18,25,45,6,70145667,2021-02-27
,0,0,19,25,45,6,70145667,2021-02-27
,0,0,20,25,45,6,70145667,2021-02-27
,18,0,23,25,45,6,70145667,2021-02-27
,0,0,9,25,45,6,70144721,2021-02-27
,0,0,10,25,45,6,70144721,2021-02-27
,0,0,11,25,45,6,70144721,2021-02-27
,0,0,12,25,45,6,70144721,2021-02-27
,0,0,13,25,45,6,70144721,2021-02-27
,0,0,14,25,45,6,70144721,2021-02-27
,0,0,15,25,45,6,70144721,2021-02-27
,0,0,16,25,45,6,70144721,2021-02-27
,0,0,17,25,45,6,70144721,2021-02-27
,0,0,18,25,45,6,70144721,2021-02-27
,0,0,19,25,45,6,70144721,2021-02-27
,0,0,20,25,45,6,70144721,2021-02-27
,22,0,23,25,45,6,70144721,2021-02-27
,0,0,9,25,45,6,70144961,2021-02-27
,0,0,10,25,45,6,70144961,2021-02-27
,0,0,11,25,45,6,70144961,2021-02-27
,0,0,12,25,45,6,70144961,2021-02-27
,0,0,13,25,45,6,70144961,2021-02-27
,0,0,14,25,45,6,70144961,2021-02-27
,0,0,15,25,45,6,70144961,2021-02-27
,0,0,16,25,45,6,70144961,2021-02-27
,0,0,17,25,45,6,70144961,2021-02-27
,0,0,18,25,45,6,70144961,2021-02-27
,0,0,19,25,45,6,70144961,2021-02-27
,0,0,20,25,45,6,70144961,2021-02-27
,8,0,23,25,45,6,70144961,2021-02-27
,0,0,9,25,45,6,70144692,2021-02-27
,0,0,10,25,45,6,70144692,2021-02-27
,0,0,11,25,45,6,70144692,2021-02-27
,0,0,12,25,45,6,70144692,2021-02-27
,0,0,13,25,45,6,70144692,2021-02-27
,0,0,14,25,45,6,70144692,2021-02-27
,0,0,15,25,45,6,70144692,2021-02-27
,0,0,16,25,45,6,70144692,2021-02-27
,0,0,17,25,45,6,70144692,2021-02-27
,0,0,18,25,45,6,70144692,2021-02-27
,0,0,19,25,45,6,70144692,2021-02-27
